WorkOrderId,EntityType,EntityUid,RelationshipType,ApplyToEntity
WO-10001,VALVE,0001,primary,false
WO-10002,VALVE,0001,primary,false
WO-10002,SERVICE_ZONE,ZONE-1,related,true
WO-10003,VALVE,0001,primary,false
WO-10004,VALVE,0001,primary,false
WO-10005,HYDRANT,0002,primary,false
WO-10006,HYDRANT,0002,primary,false
WO-10007,HYDRANT,0002,primary,false
WO-10008,HYDRANT,0002,primary,false
WO-10009,WATER_MAIN,0003,primary,false
WO-10010,WATER_MAIN,0003,primary,false
WO-10011,WATER_MAIN,0003,primary,false
WO-10012,WATER_MAIN,0003,primary,false
WO-10013,SEWER_MAIN,0004,primary,false
WO-10014,SEWER_MAIN,0004,primary,false
WO-10015,SEWER_MAIN,0004,primary,false
WO-10016,SEWER_MAIN,0004,primary,false
WO-10017,ROAD_SEGMENT,0005,primary,false
WO-10018,ROAD_SEGMENT,0005,primary,false
WO-10018,SERVICE_ZONE,ZONE-5,related,true
WO-10019,ROAD_SEGMENT,0005,primary,false
WO-10020,ROAD_SEGMENT,0005,primary,false
WO-10021,ROAD_SEGMENT,0006,primary,false
WO-10022,ROAD_SEGMENT,0006,primary,false
WO-10023,ROAD_SEGMENT,0006,primary,false
WO-10024,ROAD_SEGMENT,0006,primary,false
WO-10025,METER,0007,primary,false
WO-10026,METER,0007,primary,false
WO-10027,METER,0007,primary,false
WO-10028,METER,0007,primary,false
WO-10029,AIR_HANDLER,0008,primary,false
WO-10030,AIR_HANDLER,0008,primary,false
WO-10031,AIR_HANDLER,0008,primary,false
WO-10032,AIR_HANDLER,0008,primary,false
WO-10033,LIGHT_PANEL,0009,primary,false
WO-10034,LIGHT_PANEL,0009,primary,false
WO-10034,SERVICE_ZONE,ZONE-1,related,true
WO-10035,LIGHT_PANEL,0009,primary,false
WO-10036,LIGHT_PANEL,0009,primary,false
WO-10037,VALVE,0010,primary,false
WO-10038,VALVE,0010,primary,false
WO-10039,VALVE,0010,primary,false
WO-10040,VALVE,0010,primary,false
WO-10041,HYDRANT,0011,primary,false
WO-10042,HYDRANT,0011,primary,false
WO-10043,HYDRANT,0011,primary,false
WO-10044,HYDRANT,0011,primary,false
WO-10045,WATER_MAIN,0012,primary,false
