CommentId,WorkOrderId,CreatedDate,Comment,CommentType
C-50001,WO-10001,2022-01-11T03:00:00+00:00,Resident reports low pressure at service connection.,technician
C-50002,WO-10001,2022-01-11T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50003,WO-10002,2022-01-23T03:00:00+00:00,Crew checked service line; pressure remains below expected range. Contact Jordan Rivera at 303-555-0182; employee ID EMP-48291.,technician
C-50004,WO-10002,2022-01-23T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50005,WO-10003,2022-02-28T03:00:00+00:00,Pressure issue returned after previous visit. Technician observed a corroded valve stem contributing to restricted flow.,technician
C-50006,WO-10003,2022-02-28T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50007,WO-10004,2022-04-24T03:00:00+00:00,Replaced worn valve stem and restored normal pressure.,technician
C-50008,WO-10004,2022-04-24T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50009,WO-10005,2022-01-18T03:00:00+00:00,Standing water observed near hydrant flange.,technician
C-50010,WO-10005,2022-01-18T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50011,WO-10006,2022-01-30T03:00:00+00:00,Crew isolated service and found continued seepage.,technician
C-50012,WO-10006,2022-01-30T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50013,WO-10007,2022-03-07T03:00:00+00:00,Leak returned at the same connection.,technician
C-50014,WO-10007,2022-03-07T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50015,WO-10008,2022-05-01T03:00:00+00:00,Replaced flange gasket; no additional leakage observed.,technician
C-50016,WO-10008,2022-05-01T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50017,WO-10009,2022-02-02T03:00:00+00:00,Heavy water flow surfaced through pavement above the main.,technician
C-50018,WO-10009,2022-02-02T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50019,WO-10010,2022-02-14T03:00:00+00:00,Crew exposed a longitudinal break in the water main.,technician
C-50020,WO-10010,2022-02-14T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50021,WO-10011,2022-03-22T03:00:00+00:00,Temporary clamp is holding; monitor for renewed leakage.,technician
C-50022,WO-10011,2022-03-22T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50023,WO-10012,2022-05-16T03:00:00+00:00,Installed permanent repair sleeve and returned main to service.,technician
C-50024,WO-10012,2022-05-16T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50025,WO-10013,2022-03-01T03:00:00+00:00,Sewer backup reported at upstream cleanout.,technician
C-50026,WO-10013,2022-03-01T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50027,WO-10014,2022-03-13T03:00:00+00:00,Crew cleared blockage and restored flow.,technician
C-50028,WO-10014,2022-03-13T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50029,WO-10015,2022-04-18T03:00:00+00:00,Backup recurred after prior cleaning. Camera inspection documented root intrusion at joint 14.,technician
C-50030,WO-10015,2022-04-18T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50031,WO-10016,2022-06-12T03:00:00+00:00,Camera inspection documented root intrusion at joint 14.,technician
C-50032,WO-10016,2022-06-12T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50033,WO-10017,2022-03-10T03:00:00+00:00,Pothole measured in the eastbound travel lane.,technician
C-50034,WO-10017,2022-03-10T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50035,WO-10018,2022-03-22T03:00:00+00:00,Crew placed cold patch and reopened lane.,technician
C-50036,WO-10018,2022-03-22T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50037,WO-10019,2022-04-27T03:00:00+00:00,Patch failed and pothole returned after rainfall.,technician
C-50038,WO-10019,2022-04-27T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50039,WO-10020,2022-06-21T03:00:00+00:00,Removed failed material and installed compacted hot-mix patch.,technician
C-50040,WO-10020,2022-06-21T00:00:00+00:00,Dispatched to crew.,dispatcher
C-50041,WO-10021,2022-03-25T03:00:00+00:00,Alligator cracking observed across the wheel path.,technician
C-50042,WO-10021,2022-03-25T00:00:00+00:00,Dispatched to crew.,dispatcher
