WorkOrderId,CreatedDate,Description,Category,Department,Status,Priority
WO-10001,2022-01-11T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-10002,2022-01-23T00:00:00+00:00,Pressure investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10003,2022-02-28T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10004,2022-04-24T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10005,2022-01-18T00:00:00+00:00,Water leak investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10006,2022-01-30T00:00:00+00:00,Standing water near asset,Water Distribution,Water & Sewer,Completed,Normal
WO-10007,2022-03-07T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10008,2022-05-01T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10009,2022-02-02T00:00:00+00:00,Possible water main break,Water Main,Water & Sewer,Completed,Normal
WO-10010,2022-02-14T00:00:00+00:00,Roadway water report,Water Main,Water & Sewer,Completed,Normal
WO-10011,2022-03-22T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Completed,High
WO-10012,2022-05-16T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Closed,High
WO-10013,2022-03-01T00:00:00+00:00,Sewer backup report,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10014,2022-03-13T00:00:00+00:00,Collection line inspection,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10015,2022-04-18T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Completed,High
WO-10016,2022-06-12T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Closed,High
WO-10017,2022-03-10T00:00:00+00:00,Pothole complaint,Street Repair,Streets & Traffic,Completed,Normal
WO-10018,2022-03-22T00:00:00+00:00,Road surface repair,Street Repair,Streets & Traffic,Completed,Normal
WO-10019,2022-04-27T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Completed,High
WO-10020,2022-06-21T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Closed,High
